time,ax,ay,az
0.019,0.70,-0.43,-1.64
0.020,0.92,-0.59,-2.02
0.035,0.91,-0.42,-2.55
0.036,0.76,-0.29,-2.84
0.055,0.62,-0.24,-3.07
0.056,0.53,-0.13,-3.22
0.076,0.26,0.00,-3.10
0.077,0.10,0.32,-2.84
0.106,0.03,0.38,-2.61
0.107,0.17,0.46,-2.04
0.125,0.32,0.55,-1.50
0.126,0.64,0.51,-1.09
0.139,0.76,0.45,-0.78
0.140,0.63,0.54,-0.52
0.159,0.40,0.65,-0.28
0.160,0.38,0.66,0.15
0.193,0.51,0.71,0.55
0.196,0.45,0.69,0.77
0.199,0.29,0.70,1.02
0.200,0.24,0.82,1.29
0.222,0.36,0.55,1.65
0.223,0.41,0.33,2.02
0.232,0.60,0.13,2.21
0.233,0.62,-0.16,2.36
0.253,0.57,-0.22,2.24
0.255,0.48,-0.10,1.94
0.273,0.18,0.00,2.01
0.274,0.28,0.31,2.03
0.299,0.43,0.60,2.10
0.300,0.20,0.62,1.90
0.312,-0.17,0.15,1.47
0.314,-0.40,-0.05,1.25
0.332,-0.17,-0.27,1.23
0.333,-0.16,-0.83,0.99
0.358,-0.27,-1.12,1.06
0.359,-0.36,-0.97,1.16
0.376,-0.27,-1.29,1.19
0.377,-0.34,-1.67,0.97
0.396,-0.41,-1.53,0.56
0.397,-0.44,-1.31,0.25
0.416,-0.52,-1.17,-0.17
0.418,-0.65,-1.05,-0.68
0.436,-0.82,-0.87,-1.11
0.437,-0.77,-0.83,-1.79
0.456,-0.59,-1.06,-2.49
0.457,-0.46,-1.28,-2.78
0.480,-0.37,-1.36,-2.94
0.481,-0.12,-0.94,-2.77
0.516,0.03,-0.75,-2.82
0.517,0.03,-0.59,-2.96
0.518,0.28,-0.70,-2.99
0.519,0.62,-0.34,-2.67
0.536,0.65,0.10,-2.44
0.537,0.95,0.23,-2.32
0.556,0.78,0.31,-2.22
0.558,0.60,0.51,-1.81
0.576,0.24,0.54,-1.58
0.577,0.03,0.44,-1.31
0.600,0.24,0.29,-0.80
0.601,0.70,0.51,-0.10
0.620,1.21,0.93,0.73
0.621,1.32,0.78,1.11
0.649,1.05,0.59,1.50
0.650,0.79,0.33,1.07
0.660,0.44,0.22,1.08
0.661,-0.10,0.35,0.96
0.679,0.53,-0.04,0.47
0.680,1.07,-0.69,0.49
0.700,0.52,-0.44,0.64
0.701,0.07,-0.20,0.50
0.716,-0.43,-0.36,0.10
0.721,-1.03,-0.46,-0.04
0.736,-0.90,-0.01,0.37
0.737,-0.41,-0.19,1.19
0.752,-0.53,-0.44,1.74
0.756,-0.90,-0.42,1.61
0.773,-1.12,-0.18,0.93
0.774,-1.69,-0.24,-0.07
0.792,-2.97,-0.20,-0.87
0.793,-3.19,0.29,-1.47
0.812,-3.17,-0.11,-1.41
0.813,-2.97,-1.02,0.84
0.834,-2.03,-1.15,3.90
0.836,-0.89,-0.53,5.62
0.853,-0.89,-0.02,7.30
0.854,-1.74,0.11,6.41
0.883,-1.98,-0.26,4.55
0.884,-2.06,-1.44,2.17
0.892,-2.37,-1.90,-0.18
0.896,-1.40,-1.89,-1.03
0.916,-0.47,-2.50,-1.51
0.917,0.20,-2.50,-1.44
0.935,0.26,-2.46,-1.62
0.936,0.57,-2.12,0.26
0.956,1.25,1.12,2.35
0.957,0.82,2.73,1.80
0.976,-1.02,2.72,1.11
0.977,-2.41,2.62,-0.16
0.998,-3.27,2.59,-1.12
0.999,-3.42,2.15,-2.08
1.016,-2.22,2.57,-2.62
1.018,-0.36,3.06,-2.48
1.036,1.90,3.73,-1.10
1.037,4.10,4.86,0.54
1.056,5.17,5.55,0.95
1.057,4.44,6.03,1.37
1.075,3.48,6.19,1.16
1.077,2.33,5.41,0.89
1.096,2.25,5.05,0.23
1.097,2.29,4.35,0.39
1.122,2.19,3.66,0.63
1.123,1.97,3.04,0.38
1.142,2.01,2.47,0.01
1.144,2.75,2.09,0.29
1.160,3.33,1.35,0.64
1.161,3.71,0.99,1.70
1.173,3.66,-0.34,2.31
1.174,2.36,-1.19,2.19
1.203,2.42,-2.56,2.20
1.204,1.64,-3.60,2.22
1.222,0.40,-3.56,2.12
1.224,-0.34,-3.45,1.86
1.235,-1.11,-3.69,1.35
1.236,-2.23,-4.25,0.76
1.266,-2.48,-4.40,-0.19
1.268,-2.58,-4.10,-0.92
1.278,-1.98,-2.95,-0.87
1.279,-1.29,-2.62,-1.13
1.296,-1.14,-3.16,-1.96
1.296,-1.79,-3.22,-2.74
1.316,-2.14,-2.65,-3.69
1.317,-2.67,-1.78,-4.42
1.335,-2.80,-1.03,-4.32
1.337,-2.97,-0.50,-4.40
1.356,-3.36,-0.24,-4.71
1.357,-4.03,-0.64,-4.66
1.377,-3.94,-0.44,-4.90
1.378,-3.14,-0.58,-4.01
1.398,-1.63,-0.42,-2.65
1.399,-0.43,-0.88,-1.63
1.416,-0.12,-1.64,-1.22
1.417,0.18,-1.55,-0.46
1.437,0.36,-1.39,0.21
1.442,0.94,-0.54,1.41
1.456,0.69,2.17,4.06
1.457,2.02,3.08,4.11
1.477,3.09,3.22,4.26
1.480,3.70,4.02,3.54
1.497,4.15,3.97,2.88
1.498,5.39,4.34,3.32
1.517,6.19,4.89,2.85
1.518,6.38,4.79,2.63
1.540,6.11,4.94,2.26
1.541,5.77,4.72,1.25
1.556,4.91,4.26,0.36
1.558,3.37,4.29,-0.05
1.576,1.31,4.29,-0.88
1.577,-0.15,3.90,-1.52
1.600,-1.23,3.86,-1.45
1.609,-1.36,3.07,-1.14
1.616,-1.17,1.91,-0.22
1.617,-0.92,0.51,0.14
1.647,-0.81,-1.30,0.51
1.648,-0.40,-2.08,1.28
1.659,-0.87,-2.65,1.71
1.660,-2.09,-3.30,1.80
1.679,-3.05,-3.37,1.59
1.680,-3.27,-5.82,1.63
1.699,-3.64,-5.51,1.43
1.700,-3.57,-5.22,2.61
1.737,-3.95,-4.85,1.49
1.739,-3.85,-4.05,2.35
1.739,-3.52,-3.56,2.85
1.740,-3.94,-3.65,1.65
1.759,-3.60,-3.31,1.03
1.760,-2.86,-3.25,1.35
1.779,-2.42,-1.86,0.11
1.780,-2.37,-1.56,-0.59
1.799,-2.39,-2.01,-3.59
1.800,-3.01,0.55,-7.29
1.819,-0.72,-1.02,-2.03
1.820,-0.20,3.92,-3.50
1.840,0.54,2.72,-5.66
1.842,-0.25,1.74,-5.52
1.860,-0.95,-1.64,-5.38
1.861,-0.07,-2.20,-2.73
1.879,-0.40,-2.53,-2.77
1.880,-0.45,2.21,-2.15
1.899,-0.16,3.71,-1.41
1.900,1.07,2.86,-1.88
1.919,2.06,1.30,-2.50
1.920,1.70,0.00,-2.85
1.957,1.48,-0.78,-2.62
1.958,2.00,-0.50,-1.47
1.959,2.08,1.54,0.54
1.960,0.86,2.07,-2.33
1.977,-0.87,1.15,-0.95
1.981,-1.99,0.00,-0.71
1.999,-1.66,1.66,0.05
2.000,0.58,2.79,1.09
2.016,0.58,2.79,1.09
2.025,3.68,4.29,3.70
2.026,3.40,4.35,3.65
2.045,5.92,2.87,4.82
2.046,4.89,2.33,3.53
2.076,4.46,2.14,3.26
2.078,4.84,0.47,0.98
2.079,4.42,0.24,0.90
2.096,3.08,0.71,1.42
2.097,2.89,0.47,2.05
2.115,2.58,0.50,1.93
2.125,1.78,-0.04,2.68
2.126,1.02,0.52,3.00
2.145,-0.72,0.85,2.54
2.146,-2.39,0.56,1.88
2.165,-3.91,0.62,1.47
2.166,-4.66,0.01,0.63
2.185,-4.52,-0.24,0.23
2.187,-4.05,-0.04,0.18
2.205,-4.15,-0.02,0.07
2.207,-4.19,-0.03,-0.26
2.229,-4.65,-0.73,-0.93
2.230,-5.17,-0.26,-0.80
2.252,-5.15,-0.07,0.05
2.253,-5.63,0.54,0.60
2.270,-5.56,0.70,0.42
2.271,-5.63,0.34,0.49
2.282,-4.92,-0.05,0.08
2.284,-3.10,-0.18,-0.17
2.304,-0.06,-0.95,-0.48
2.312,1.92,-1.98,-1.49
2.325,2.30,-3.23,-3.22
2.326,2.36,-4.26,-4.37
2.343,0.42,-2.89,-4.36
2.344,0.09,-0.04,-4.46
2.364,1.58,-0.12,-4.68
2.366,3.70,-1.38,-3.52
2.403,4.08,-2.90,-3.34
2.404,4.24,-3.02,-3.04
2.405,4.14,-2.80,-2.92
2.406,3.31,-2.34,-1.25
2.440,2.10,-1.44,-0.32
2.441,0.90,0.04,0.56
2.442,-0.03,1.50,1.41
2.443,-0.08,2.60,1.88
2.467,0.79,2.98,2.60
2.468,1.91,2.88,2.37
2.486,3.92,2.38,2.54
2.487,4.59,1.02,2.53
2.506,4.71,-0.28,1.61
2.508,5.10,-0.46,1.36
2.535,5.38,0.00,2.02
2.537,4.04,0.73,1.82
2.546,2.96,1.01,1.62
2.547,2.72,1.15,1.85
2.579,2.70,1.46,1.66
2.580,2.87,0.99,2.23
2.581,2.42,-0.15,1.72
2.581,1.57,-0.94,1.49
2.605,1.81,-1.12,2.43
2.607,1.29,-0.33,2.02
2.625,0.86,0.12,0.91
2.632,-0.50,0.14,1.01
2.645,-3.32,-1.03,-0.39
2.646,-5.50,-2.25,-1.20
2.690,-4.83,-1.46,-1.33
2.691,-3.39,-1.36,-0.78
2.695,-2.45,-0.89,0.70
2.696,-1.25,-0.38,1.84
2.705,-2.86,0.65,2.41
2.706,-4.45,0.51,1.69
2.725,-4.72,0.13,1.08
2.727,-4.57,0.36,0.01
2.745,-4.79,1.69,1.84
2.746,-4.74,3.45,1.55
2.766,-5.06,3.20,0.64
2.767,-3.54,-0.28,-1.82
2.792,-1.38,-1.18,-4.53
2.794,-1.18,-1.58,-3.97
2.810,-3.05,-1.04,-6.12
2.811,-7.64,-5.24,-10.08
2.829,-6.40,-5.56,-10.05
2.831,-2.34,-4.74,-6.07
2.842,1.12,-0.84,-1.50
2.858,1.96,0.60,-1.32
2.868,1.68,0.09,-0.28
2.869,1.87,-0.19,-0.65
2.879,2.48,-0.60,-2.07
2.880,2.67,-1.13,0.13
2.900,4.35,-0.35,-1.34
2.901,3.90,-1.29,3.33
2.923,5.53,1.79,-0.17
2.930,4.49,2.67,1.79
2.962,3.40,4.44,0.13
2.963,2.14,1.51,-0.89
2.974,1.17,0.00,0.56
2.976,1.57,-0.87,1.89
2.983,2.27,0.71,1.90
2.984,3.07,1.14,3.40
3.012,3.61,2.18,4.71
3.021,4.60,1.52,4.28
3.023,2.75,-0.40,2.02
3.024,1.61,0.35,-0.24
3.042,0.42,1.37,-0.96
3.043,-0.74,-0.33,-1.26
3.061,-0.72,1.27,-0.94
3.063,-0.64,2.44,-0.52
3.085,-0.75,3.07,0.26
3.086,-1.23,1.48,0.71
3.107,-1.59,3.55,1.55
3.109,-1.85,0.81,1.16
3.121,-2.82,-0.52,1.51
3.123,-3.49,0.94,2.43
3.142,-4.25,0.24,2.20
3.144,-4.04,-0.40,2.18
3.177,-4.53,-0.75,0.83
3.179,-4.25,-0.77,0.50
3.187,-4.39,-1.57,-0.76
3.187,-3.49,-1.07,-0.71
3.209,-2.87,-0.83,-0.82
3.210,-2.35,-1.18,-0.72
3.224,-2.03,-1.55,-0.63
3.226,-2.36,-1.88,-0.47
3.243,-2.54,-2.37,-0.52
3.245,-3.94,-3.00,-1.91
3.261,-3.93,-1.43,-1.24
3.263,-2.29,-0.82,-2.42
3.285,-1.09,-0.31,-2.78
3.286,1.73,-0.45,-1.62
3.306,2.99,-1.36,-1.26
3.307,3.20,-1.34,-2.48
3.330,2.44,-1.62,-3.07
3.331,1.63,-2.38,-4.24
3.342,1.60,-3.44,-4.08
3.343,1.56,-3.89,-2.42
3.397,0.73,-3.92,-2.10
3.399,0.31,-3.77,-1.68
3.400,0.56,-3.87,-0.09
3.402,0.37,-4.14,0.87
3.456,0.28,-3.48,2.93
3.457,-0.02,-2.14,4.21
3.479,-0.62,-0.97,2.40
3.482,-0.84,0.09,1.69
3.490,0.41,1.49,1.73
3.491,2.01,3.12,1.02
3.492,3.44,4.60,0.17
3.500,3.85,4.94,-0.18
3.500,4.03,4.91,-0.53
3.501,4.31,5.10,-0.67
3.526,4.41,5.44,0.75
3.527,5.31,6.23,1.27
3.529,5.61,6.09,2.10
3.530,4.83,5.55,1.93
3.548,4.03,4.64,1.83
3.550,3.83,3.99,1.26
3.558,3.27,3.69,0.59
3.559,2.73,3.18,0.34
3.585,1.64,2.59,-0.46
3.586,-0.15,1.76,-0.43
3.611,0.15,0.74,1.48
3.616,-0.56,0.38,2.32
3.621,-1.59,-0.38,1.11
3.623,-3.16,-1.19,1.66
3.639,-4.62,-1.76,1.38
3.640,-4.79,-3.04,0.37
3.666,-4.60,-3.56,1.06
3.668,-4.54,-2.86,1.16
3.679,-6.10,-3.12,-0.44
3.680,-6.68,-5.31,-1.39
3.699,-4.86,-5.98,-1.13
3.700,-3.48,-4.63,0.09
3.730,-3.65,-3.15,1.40
3.731,-3.73,-1.63,1.75
3.739,-4.48,-0.25,1.26
3.740,-4.39,0.65,1.29
3.760,-2.68,0.20,2.95
3.763,2.80,-1.41,-1.54
3.781,5.64,-4.26,-2.68
3.783,3.99,-5.47,-6.36
3.799,0.52,-0.22,-9.03
3.801,-0.78,2.23,-7.92
3.819,-0.08,-4.63,0.24
3.820,4.60,-8.01,-4.77
3.849,8.58,-3.64,0.07
3.850,1.66,-1.03,-0.72
3.862,-0.40,-0.88,-1.53
3.864,0.58,1.18,-1.71
3.880,1.23,2.38,0.44
3.882,1.67,4.50,-0.86
3.900,2.31,4.19,-2.37
3.902,3.22,3.70,-1.55
3.919,2.38,4.21,-2.08
3.921,1.27,4.08,-1.85
3.940,0.56,2.36,-3.08
3.943,0.46,-1.40,-1.64
3.978,4.84,-3.31,1.46
3.980,4.40,0.01,8.95
3.983,3.15,2.88,6.47
3.991,1.58,4.93,1.71
4.008,0.29,5.47,2.69
4.030,-0.29,4.79,3.47
4.031,-0.94,5.15,-0.36
4.032,-0.85,4.34,-2.30
4.063,-0.50,3.51,-2.64
4.064,-0.54,1.93,-1.69
4.065,-1.70,1.46,-1.11
4.066,5.34,-29.12,0.36
4.084,4.15,-31.05,1.46
4.085,-4.67,-6.90,3.44
4.105,-7.23,3.97,2.96
4.106,-8.09,6.09,2.85
4.123,-7.18,5.16,2.63
4.124,-6.77,2.63,2.69
4.141,-5.49,1.02,4.78
4.143,-4.11,-3.47,2.92
4.164,-3.97,-4.86,2.22
4.165,-3.32,-4.21,2.71
4.181,-2.49,-3.92,3.14
4.183,-2.66,-3.97,2.26
4.203,-3.33,-4.66,1.76
4.204,-3.63,-4.67,1.80
4.223,-3.04,-3.51,3.00
4.224,-1.95,-1.86,4.08
4.250,-1.10,-0.39,4.45
4.251,-1.19,0.40,4.49
4.262,-1.44,1.64,3.52
4.263,-1.55,1.46,0.32
4.282,-0.51,1.45,-3.01
4.283,0.68,3.08,-3.89
4.302,3.16,2.91,-2.07
4.306,6.61,-1.49,-3.37
4.323,5.94,-3.10,-4.63
4.324,3.12,-3.96,-7.54
4.360,1.93,-4.23,-5.85
4.361,1.02,-3.50,-2.76
4.363,0.50,-2.81,-2.50
4.363,1.31,-2.17,-2.92
4.382,2.06,-2.35,-3.74
4.383,2.55,-2.49,-1.86
4.402,3.01,-2.05,0.00
4.403,3.95,-1.24,0.88
4.422,4.42,0.38,1.02
4.423,4.66,2.66,-0.47
4.443,3.89,4.43,-0.41
4.444,1.80,5.26,-2.55
4.462,0.61,6.81,-3.91
4.463,0.91,6.92,-3.34
4.481,1.13,7.03,-3.06
4.483,0.73,6.57,-2.70
4.502,0.04,7.50,-2.94
4.503,0.87,7.92,-2.50
4.522,-0.01,7.87,-3.04
4.523,-0.09,8.32,-2.90
4.545,0.58,8.06,-2.19
4.546,1.60,7.37,-1.48
